skuname_ean,Brand,Sub-brand,Branded vs PL,serving_style,Indulgent brands vs Others,Topping Grouping,Deluxe/Supreme vs Others,Meat Combo/ Supreme/ Deluxe vs Others,Topping_Grouped,Veg vs Non-Veg,Sauce,Gluten Free,Updated Price Tier_PL,Crust Type - Higher level ,Pack Size - Panel,Pack Size Grouped,Cooking Style,Thickness of Crust,Healthy vs Regular Crust,Pack Count,Pack Type_Panel,Vegan(Nestle),Natural.Claim(Nestle),Non.Gmo(Nestle),Organic.Claim(Nestle),Plant.Based.Protein(Nestle),Preservative.Claim(Nestle),BFY Rolled up,Indulgent vs Non- Indulgent
0007218063473,Red Baron,Red Baron,Branded,Multi-Serve,Non- Indulgent,Pepperoni,Others,Others,Pepperoni,Non-Veg,Red Sauce,No Gluten Claim Present,Value,Regular Crust,20.6 Oz,Medium (20-30 Oz),Conv Oven,Thick/Original,Regular Crust,1 Ct,Box,No Vegan Claim Present,No Natural Claim Present,No Gmo Claim Present,No Organic Claim Present,No Plant based claim,No Preservative-Free Claim Present,Non BFY,Non- Indulgent
0007218063429,Red Baron,Red Baron,Branded,Multi-Serve,Non- Indulgent,Cheese/Plain,Others,Others,Cheese/Plain,Vegetarian,Red Sauce,No Gluten Claim Present,Value,Regular Crust,21.06 Oz,Medium (20-30 Oz),Conv Oven,Thick/Original,Regular Crust,1 Ct,Box,No Vegan Claim Present,No Natural Claim Present,No Gmo Claim Present,No Organic Claim Present,No Plant based claim,No Preservative-Free Claim Present,Non BFY,Non- Indulgent
0007192182379,Digiorno,Digiorno,Branded,Multi-Serve,Non- Indulgent,Pepperoni,Others,Others,Pepperoni,Non-Veg,Red Sauce,No Gluten Claim Present,Mid Tier,Rising Crust,24.7 Oz,Medium (20-30 Oz),Conv Oven,Thick/Original,Regular Crust,1 Ct,Box,No Vegan Claim Present,No Natural Claim Present,No Gmo Claim Present,No Organic Claim Present,No Plant based claim,No Preservative-Free Claim Present,Non BFY,Non- Indulgent
0007218063471,Red Baron,Red Baron,Branded,Multi-Serve,Non- Indulgent,Deluxe/Supreme,Deluxe/Supreme,Deluxe/Supreme/Meat Combo,Meat Combos,Non-Veg,Red Sauce,No Gluten Claim Present,Value,Regular Crust,23.45 Oz,Medium (20-30 Oz),Conv Oven,Thick/Original,Regular Crust,1 Ct,Box,No Vegan Claim Present,No Natural Claim Present,No Gmo Claim Present,No Organic Claim Present,No Plant based claim,No Preservative-Free Claim Present,Non BFY,Non- Indulgent
0007218063811,Red Baron,Red Baron,Branded,Multi-Serve,Non- Indulgent,Pepperoni,Others,Others,Pepperoni,Non-Veg,Red Sauce,No Gluten Claim Present,Value,Wood Fired,17.89 Oz,Small (<=20 Oz),Conv Oven,Thick/Original,Regular Crust,1 Ct,Box,No Vegan Claim Present,No Natural Claim Present,No Gmo Claim Present,No Organic Claim Present,No Plant based claim,No Preservative-Free Claim Present,Non BFY,Non- Indulgent
0007218063810,Red Baron,Red Baron,Branded,Multi-Serve,Non- Indulgent,Cheese/Plain,Others,Others,Cheese/Plain,Vegetarian,Red Sauce,No Gluten Claim Present,Value,Wood Fired,17.82 Oz,Small (<=20 Oz),Conv Oven,Thick/Original,Regular Crust,1 Ct,Box,No Vegan Claim Present,No Natural Claim Present,No Gmo Claim Present,No Organic Claim Present,No Plant based claim,No Preservative-Free Claim Present,Non BFY,Non- Indulgent
0007218056624,Red Baron,Red Baron,Branded,Multi-Serve,Non- Indulgent,Meat Combos,Others,Deluxe/Supreme/Meat Combo,Meat Combos,Non-Veg,Red Sauce,No Gluten Claim Present,Value,Regular Crust,21.95 Oz,Medium (20-30 Oz),Conv Oven,Thick/Original,Regular Crust,1 Ct,Box,No Vegan Claim Present,No Natural Claim Present,No Gmo Claim Present,No Organic Claim Present,No Plant based claim,No Preservative-Free Claim Present,Non BFY,Non- Indulgent
0007192121457,Digiorno,Digiorno,Branded,Multi-Serve,Non- Indulgent,Cheese/Plain,Others,Others,Cheese/Plain,Vegetarian,Red Sauce,No Gluten Claim Present,Mid Tier,Rising Crust,24.6 Oz,Medium (20-30 Oz),Conv Oven,Thick/Original,Regular Crust,1 Ct,Box,No Vegan Claim Present,No Natural Claim Present,No Gmo Claim Present,No Organic Claim Present,No Plant based claim,No Preservative-Free Claim Present,Non BFY,Non- Indulgent
0007192119331,Digiorno,Digiorno,Branded,Multi-Serve,Non- Indulgent,Deluxe/Supreme,Deluxe/Supreme,Deluxe/Supreme/Meat Combo,Meat Combos,Non-Veg,Red Sauce,No Gluten Claim Present,Mid Tier,Rising Crust,29.3 Oz,Medium (20-30 Oz),Conv Oven,Thick/Original,Regular Crust,1 Ct,Box,No Vegan Claim Present,No Natural Claim Present,No Gmo Claim Present,No Organic Claim Present,No Plant based claim,No Preservative-Free Claim Present,Non BFY,Non- Indulgent
0007218073366,Red Baron,Red Baron,Branded,Single Serve,Non- Indulgent,Pepperoni,Others,Others,Pepperoni,Non-Veg,Red Sauce,No Gluten Claim Present,Mid Tier,Pan/Deep Dish Crust,11.2 Oz,Medium (10-18 Oz),Conv Oven,Thick/Original,Regular Crust,2 Ct,Bag In Box,No Vegan Claim Present,No Natural Claim Present,No Gmo Claim Present,No Organic Claim Present,No Plant based claim,No Preservative-Free Claim Present,Non BFY,Non- Indulgent
0007192123298,Digiorno,Digiorno,Branded,Multi-Serve,Non- Indulgent,Meat Combos,Others,Deluxe/Supreme/Meat Combo,Meat Combos,Non-Veg,Red Sauce,No Gluten Claim Present,Mid Tier,Rising Crust,27.1 Oz,Medium (20-30 Oz),Conv Oven,Thick/Original,Regular Crust,1 Ct,Box,No Vegan Claim Present,No Natural Claim Present,No Gmo Claim Present,No Organic Claim Present,No Plant based claim,No Preservative-Free Claim Present,Non BFY,Non- Indulgent
0004280011400,Totino'S,Totino'S Party Pizza,Branded,Single Serve,Non- Indulgent,Pepperoni,Others,Others,Pepperoni,Non-Veg,Red Sauce,No Gluten Claim Present,Value,Regular Crust,10.2 Oz,Medium (10-18 Oz),Conv Oven,Thick/Original,Regular Crust,1 Ct,Bag,No Vegan Claim Present,No Natural Claim Present,No Gmo Claim Present,No Organic Claim Present,No Plant based claim,No Preservative-Free Claim Present,Non BFY,Non- Indulgent
0004280011600,Totino'S,Totino'S Party Pizza,Branded,Single Serve,Non- Indulgent,Meat Combos,Others,Deluxe/Supreme/Meat Combo,Meat Combos,Non-Veg,Red Sauce,No Gluten Claim Present,Value,Regular Crust,10.7 Oz,Medium (10-18 Oz),Conv Oven,Thick/Original,Regular Crust,1 Ct,Bag,No Vegan Claim Present,No Natural Claim Present,No Gmo Claim Present,No Organic Claim Present,No Plant based claim,No Preservative-Free Claim Present,Non BFY,Non- Indulgent
0007218073429,Sabatasso'S,Sabatassos,Branded,Single Serve,Non- Indulgent,Pepperoni,Others,Others,Pepperoni,Non-Veg,Red Sauce,No Gluten Claim Present,Mid Tier,Regular Crust,43.98 Oz,Large (>18 Oz),Mw Or Conv Oven,Thick/Original,Regular Crust,12 Ct,Box,No Vegan Claim Present,No Natural Claim Present,No Gmo Claim Present,No Organic Claim Present,No Plant based claim,No Preservative-Free Claim Present,Non BFY,Non- Indulgent
0007465379187,Jacks,Jacks,Branded,Multi-Serve,Non- Indulgent,Pepperoni,Others,Others,Pepperoni,Non-Veg,Red Sauce,No Gluten Claim Present,Value,Regular Crust,14.3 Oz,Small (<=20 Oz),Conv Oven,Thick/Original,Regular Crust,1 Ct,Over Wrap,No Vegan Claim Present,No Natural Claim Present,No Gmo Claim Present,No Organic Claim Present,No Plant based claim,No Preservative-Free Claim Present,Non BFY,Non- Indulgent
