skuname_ean,dollar_sales,volume_sales,is_client,serving_style,Indulgent brands vs Others,Topping Grouping,Deluxe/Supreme vs Others,Meat Combo/ Supreme/ Deluxe vs Others,Topping_Grouped,Veg vs Non-Veg,Sauce,Gluten Free,Updated Price Tier_PL,Crust Type - Higher level ,Pack Size - Panel,Pack Size Grouped,Cooking Style,Thickness of Crust,Healthy vs Regular Crust,Pack Count,Pack Type_Panel,Vegan(Nestle),Natural.Claim(Nestle),Non.Gmo(Nestle),Organic.Claim(Nestle),Plant.Based.Protein(Nestle),Preservative.Claim(Nestle),BFY Rolled up
0080487955827,131828.389,7379.760338,0,Single Serve,Non- Indulgent,Pepperoni,Others,Others,Pepperoni,Non-Veg,NA,No Gluten Claim Present,Premium,Regular Crust,11.2 Oz,Medium (10-18 Oz),Conv Oven,Thick/Original,NA,2 Ct,Box,No Vegan Claim Present,No Natural Claim Present,No Gmo Claim Present,No Organic Claim Present,No Plant based claim,No Preservative-Free Claim Present,Non BFY
0087282400986,245390.0123,62351.09211,0,Single Serve,Non- Indulgent,Pepperoni,Others,Others,Pepperoni,Non-Veg,NA,No Gluten Claim Present,Premium,Regular Crust,11.2 Oz,Medium (10-18 Oz),Conv Oven,Thick/Original,NA,2 Ct,Box,No Vegan Claim Present,No Natural Claim Present,No Gmo Claim Present,No Organic Claim Present,No Plant based claim,No Preservative-Free Claim Present,Non BFY
0000452880841,0,0,0,Single Serve,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0000158151825,0,0,0,Single Serve,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0001081332827,4688526.287,579430.6735,0,Single Serve,Non- Indulgent,Pepperoni,Others,Others,Pepperoni,Non-Veg,PL,No Gluten Claim Present,Value,Regular Crust,7.2 Oz,Small (<=10 Oz),Conv Oven,Thick/Original,Regular Crust,1 Ct,Box,No Vegan Claim Present,No Natural Claim Present,No Gmo Claim Present,No Organic Claim Present,No Plant based claim,No Preservative-Free Claim Present,Non BFY
0081073202207,0,0,0,Single Serve,Non- Indulgent,Pepperoni,Others,Others,Pepperoni,Non-Veg,NA,No Gluten Claim Present,Premium,Regular Crust,11.2 Oz,Medium (10-18 Oz),Conv Oven,Thick/Original,NA,2 Ct,Box,No Vegan Claim Present,No Natural Claim Present,No Gmo Claim Present,No Organic Claim Present,No Plant based claim,No Preservative-Free Claim Present,Non BFY
0000501775697,0,0,0,Single Serve,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0002182107567,45031.63385,4714.343111,0,Single Serve,Non- Indulgent,Pepperoni,Others,Others,Pepperoni,Non-Veg,Red Sauce,No Gluten Claim Present,Mid Tier,Ao Crust,35.25 Oz,Large (>18 Oz),Conv Oven,Thick/Original,Regular Crust,6 Ct,Bag In Box,No Vegan Claim Present,No Natural Claim Present,No Gmo Claim Present,No Organic Claim Present,No Plant based claim,No Preservative-Free Claim Present,Non BFY
0007192179647,0,0,1,Single Serve,Non- Indulgent,Meat Combos,Others,Deluxe/Supreme/Meat Combo,Meat Combos,PL,PL,No Gluten Claim Present,Value,Regular Crust,7.2 Oz,Small (<=10 Oz),Conv Oven,PL,PL,1 Ct,Box,No Vegan Claim Present,No Natural Claim Present,No Gmo Claim Present,No Organic Claim Present,No Plant based claim,No Preservative-Free Claim Present,Non BFY
0007218074909,112246.5762,16560.66906,0,Single Serve,Non- Indulgent,Meat Combos,Others,Deluxe/Supreme/Meat Combo,Meat Combos,PL,PL,No Gluten Claim Present,Value,Regular Crust,7.2 Oz,Small (<=10 Oz),Conv Oven,PL,PL,1 Ct,Box,No Vegan Claim Present,No Natural Claim Present,No Gmo Claim Present,No Organic Claim Present,No Plant based claim,No Preservative-Free Claim Present,Non BFY
0000954815276,3751124.403,1050903.478,0,Single Serve,Non- Indulgent,Pepperoni,Others,Others,Pepperoni,Non-Veg,PL,No Gluten Claim Present,Value,Regular Crust,7.2 Oz,Small (<=10 Oz),Conv Oven,Thick/Original,Regular Crust,1 Ct,Box,No Vegan Claim Present,No Natural Claim Present,No Gmo Claim Present,No Organic Claim Present,No Plant based claim,No Preservative-Free Claim Present,Non BFY
0007192123284,0,0,1,Single Serve,Non- Indulgent,Meat Combos,Others,Deluxe/Supreme/Meat Combo,Meat Combos,PL,PL,No Gluten Claim Present,Value,Regular Crust,7.2 Oz,Small (<=10 Oz),Conv Oven,PL,PL,1 Ct,Box,No Vegan Claim Present,No Natural Claim Present,No Gmo Claim Present,No Organic Claim Present,No Plant based claim,No Preservative-Free Claim Present,Non BFY
0007192184623,0,0,1,Single Serve,Non- Indulgent,Meat Combos,Others,Deluxe/Supreme/Meat Combo,Meat Combos,PL,PL,No Gluten Claim Present,Value,Regular Crust,7.2 Oz,Small (<=10 Oz),Conv Oven,PL,PL,1 Ct,Box,No Vegan Claim Present,No Natural Claim Present,No Gmo Claim Present,No Organic Claim Present,No Plant based claim,No Preservative-Free Claim Present,Non BFY
0085832400644,0,0,0,Single Serve,Non- Indulgent,Pepperoni,Others,Others,Pepperoni,Non-Veg,NA,No Gluten Claim Present,Premium,Regular Crust,11.2 Oz,Medium (10-18 Oz),Conv Oven,Thick/Original,NA,2 Ct,Box,No Vegan Claim Present,No Natural Claim Present,No Gmo Claim Present,No Organic Claim Present,No Plant based claim,No Preservative-Free Claim Present,Non BFY
0000573362871,13622874.61,5230217.407,0,Single Serve,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0000228823275,2.805434353,0.778030405,0,Single Serve,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0087282400882,270711.3925,86104.82272,0,Single Serve,Non- Indulgent,Pepperoni,Others,Others,Pepperoni,Non-Veg,NA,No Gluten Claim Present,Premium,Regular Crust,11.2 Oz,Medium (10-18 Oz),Conv Oven,Thick/Original,NA,2 Ct,Box,No Vegan Claim Present,No Natural Claim Present,No Gmo Claim Present,No Organic Claim Present,No Plant based claim,No Preservative-Free Claim Present,Non BFY
0000054075869,0,0,0,Single Serve,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0270071599231,0,0,1,Single Serve,Non- Indulgent,Pepperoni,Others,Others,Pepperoni,Non-Veg,NA,No Gluten Claim Present,Premium,Regular Crust,11.2 Oz,Medium (10-18 Oz),Conv Oven,Thick/Original,NA,2 Ct,Box,No Vegan Claim Present,No Natural Claim Present,No Gmo Claim Present,No Organic Claim Present,No Plant based claim,No Preservative-Free Claim Present,Non BFY
0087282400847,0,0,0,Single Serve,Non- Indulgent,Pepperoni,Others,Others,Pepperoni,Non-Veg,NA,No Gluten Claim Present,Premium,Regular Crust,11.2 Oz,Medium (10-18 Oz),Conv Oven,Thick/Original,NA,2 Ct,Box,No Vegan Claim Present,No Natural Claim Present,No Gmo Claim Present,No Organic Claim Present,No Plant based claim,No Preservative-Free Claim Present,Non BFY
0001380015183,9775597.098,1816720.624,1,Single Serve,Non- Indulgent,Pepperoni,Others,Others,Pepperoni,Non-Veg,PL,No Gluten Claim Present,Value,Regular Crust,7.2 Oz,Small (<=10 Oz),Conv Oven,Thick/Original,Regular Crust,1 Ct,Box,No Vegan Claim Present,No Natural Claim Present,No Gmo Claim Present,No Organic Claim Present,No Plant based claim,No Preservative-Free Claim Present,Non BFY
0439904056100,261812.04,26235.225,0,Single Serve,Non- Indulgent,Pepperoni,Others,Others,Pepperoni,Non-Veg,NA,No Gluten Claim Present,Premium,Regular Crust,11.2 Oz,Medium (10-18 Oz),Conv Oven,Thick/Original,NA,2 Ct,Box,No Vegan Claim Present,No Natural Claim Present,No Gmo Claim Present,No Organic Claim Present,No Plant based claim,No Preservative-Free Claim Present,Non BFY
